site_code,Taxon,NewTaxon,Notes,Reason,Apply,New_Family,New_local_provenance,New_local_lifeform,New_local_lifespan,New_functional_group
saana.fi,SCIURO-HYPNUM SP. (saana.fi),BRACHYTHECIUM SALEBROSUM,often present on same plot in different years,Inconsistent identification across years,Yes,,,,,
saana.fi,PELTIGERA SP. (saana.fi),PELTIGERA RUFESCENS,,No congeners recorded,Yes,,,,,
sage.us,CAREX SP. (sage.us),CAREX NEBRASCENSIS,co-occur in same plot-year,no changes,No,,,,,
saline.us,,,Asclepias syriaca == Apocynum cannabinum?,no changes,No,,,,,
saline.us,LIATRIS PUNCTATA,LIATRIS MUCRONATA,,Inconsistent identification across years,Yes,,,,,
saline.us,SOLIDAGO RIGIDA,SOLIDAGO CANADENSIS,,Inconsistent identification across years,Yes,,,,,
saline.us,UNKNOWN ASTERACEAE SP. (saline.us),AMBROSIA PSILOSTACHYA,,Assign to dominant taxon in Family,Yes,,,,,
saline.us,EUPHORBIA SP. (saline.us),EUPHORBIA MARGINATA,,Assign to dominant taxon in genus,Yes,,,,,
saline.us,UNKNOWN LAMIACEAE SP. (saline.us),SALVIA AZUREA,"plot 3, 2016",Assign to dominant taxon in Family,Yes,,,,,
saline.us,UNKNOWN FORB SP. (saline.us),PSORALEA TENUIFLORA,,Assign to dominant forb taxon,Yes,Fabaceae,,,,
saline.us,UNKNOWN SHRUB SP. (saline.us),RHUS TRILOBATA,"plot 30, 2015; plot contained Rhus trilobata in other years",Assign to dominant shrub taxon,Yes,Anacardiaceae,,,,
saline.us,UNKNOWN SP. (saline.us),SPOROBOLUS COMPOSITUS,,Assign to dominant taxon,Yes,Poaceae,,,,
saline.us,UNKNOWN SP.2 (saline.us),SPOROBOLUS COMPOSITUS,unknown provenance according to characteristics,Assign to dominant taxon,Yes,Poaceae,,,,
saline.us,SPOROBOLUS HETEROLEPIS,SPOROBOLUS COMPOSITUS,"reversed in 2009, 2010",Inconsistent identification across years,Yes,,,,,
saline.us,SOLANUM PTYCHANTHUM,SOLANUM SP. (saline.us),,Aggregate at genus level,Yes,,,,,
saline.us,SOLANUM ROSTRATUM,SOLANUM SP. (saline.us),,Aggregate at genus level,Yes,,,,,
sandhill.us,EUPHORBIA SP. (sandhill.us),EUPHORBIA PUBENTISSIMA,often occur in same plot in different years,Inconsistent identification across years,Yes,,,,,
sava.us,VACCINIUM VIRGATUM,VACCINIUM STAMINEUM,,Inconsistent identification across years,Yes,,,,,
sava.us,QUERCUS FALCATA,QUERCUS MARGARETTIAE,plot 19,Inconsistent identification across years,Yes,,,,,
sava.us,HYPERICUM HYPERICOIDES,HYPERICUM GENTIANOIDES,different plots,no changes,No,,,,,
sava.us,UNKNOWN SP. (sava.us),PITYOPSIS GRAMINIFOLIA,,Assign to dominant taxon,Yes,Compositae,,,,
sava.us,DANTHONIA SERICEA,ERAGROSTIS SPECTABILIS,plot 5,Inconsistent identification across years,Yes,,,,,
sava.us,MUHLENBERGIA CAPILLARIS,ERAGROSTIS SPECTABILIS,plot 5,Inconsistent identification across years,Yes,,,,,
sava.us,RUBUS CUNEIFOLIUS,RUBUS FLAGELLARIS,"plots 8, 11",Inconsistent identification across years,Yes,,,,,
sava.us,SMILAX BONA-NOX,SMILAX MARITIMA,plot 17,Inconsistent identification across years,Yes,,,,,
sedg.us,ASTER SP. (sedg.us),CORETHROGYNE FILAGINIFOLIA,Aster genus not in New World flora,Synonyms,Yes,,,,,
sedg.us,CIRSIUM SP. (sedg.us),CARDUUS PYCNOCEPHALUS,5 records in pretreatment; Carduus in subsequent years,Common misidentification,Yes,,,,,
sedg.us,TRIFOLIUM SP. (sedg.us),TRIFOLIUM MICROCEPHALUM,,No congeners recorded,Yes,,,,,
sedg.us,UNKNOWN SP. (sedg.us),BROMUS DIANDRUS,,Assign to dominant taxon,Yes,Poaceae,,,,
sereng.tz,JUSTICIA SP. (sereng.tz),JUSTICIA ANSELLIANA,co-occur in same plot-year,no changes,No,,,,,
sereng.tz,UNKNOWN ACANTHACEAE SP. (sereng.tz),JUSTICIA ANSELLIANA,"plot 4, 2010",Assign to dominant taxon in Family,Yes,,,,,
sereng.tz,CYPERUS REMOTUS,CYPERUS SQUARROSUS,plot 24,Inconsistent identification across years,Yes,,,,,
sereng.tz,KYLLINGA NERVOSA,KYLLINGA SP. (sereng.tz),,Aggregate at genus level,Yes,,,,,
sereng.tz,KYLLINGA ALBA,KYLLINGA SP. (sereng.tz),,Aggregate at genus level,Yes,,,,,
sereng.tz,MARISCUS SP. (sereng.tz),CYPERUS NIVEUS var. LEUCOCEPHALUS,,Inconsistent identification across years,Yes,,,,,
sereng.tz,UNKNOWN CYPERACEAE SP. (sereng.tz),CYPERUS MOLLIPES,Cyperus mollipes often occurs in same plot year after Unknown Cyperaceae,Inconsistent identification across years,Yes,,,,,
sereng.tz,UNKNOWN FORB SP. (sereng.tz),JUSTICIA ANSELLIANA,,Assign to dominant forb taxon,Yes,Acanthaceae,,,,
sereng.tz,UNKNOWN SP. (sereng.tz),RUELLIA PATULA,perennial forb according to characteristics,Assign to dominant forb taxon (perennial),Yes,Acanthaceae,,,,
sereng.tz,DACTYLOCTENIUM SP. (sereng.tz),DACTYLOCTENIUM AEGYPTIUM,,No congeners recorded,Yes,,,,,
sereng.tz,CYCNIUM SP. (sereng.tz),CYCNIUM TUBULOSUM,co-occur in same plot-year,no changes,No,,,,,
sevi.us,EUPHORBIA SP. (sevi.us),EUPHORBIA ALBOMARGINATA,,Assign to dominant taxon in genus,Yes,,,,,
sevi.us,HOFFMANNSEGGIA GLAUCA,POMARIA JAMESII,Hoffmannseggia glauca only in first 2 years,Inconsistent identification across years,Yes,,,,,
sevi.us,SPHAERALCEA SP. (sevi.us),SPHAERALCEA POLYCHROMA,,Assign to dominant taxon in genus,Yes,,,,,
sevi.us,UNKNOWN FORB SP. (sevi.us),GUTIERREZIA SAROTHRAE,"plot 20, 2007",Assign to dominant forb taxon,Yes,Compositae,,,,
sevi.us,UNKNOWN SHRUB SP. (sevi.us),SALSOLA KALI,"plot 23, 2007",Assign to dominant shrub taxon,Yes,Amaranthaceae,,,,
sevi.us,UNKNOWN SP. (sevi.us),CHONDROSUM ERIOPODUM,,Assign to dominant taxon,Yes,Poaceae,,,,
sevi.us,SPOROBOLUS CONTRACTUS,SPOROBOLUS SP. (sevi.us),species not distinguished in most years,Aggregate at genus level,Yes,,,,,
sevi.us,SPOROBOLUS CRYPTANDRUS,SPOROBOLUS SP. (sevi.us),species not distinguished in most years,Aggregate at genus level,Yes,,,,,
sevi.us,SPOROBOLUS FLEXUOSUS,SPOROBOLUS SP. (sevi.us),species not distinguished in most years,Aggregate at genus level,Yes,,,,,
sgs.us,OXYTROPIS SERICEA,,Oxytropis widespread but only in year 2??,no changes,No,,,,,
sgs.us,AMARANTHUS SP. (sgs.us),AMARANTHUS GRAECIZANS,,No congeners recorded,Yes,,,,,
sgs.us,EUPHORBIA BRACHYCERA,EUPHORBIA GLYPTOSPERMA,only in Year 0 but no Euphorbias in Year 1,no changes,No,,,,,
sgs.us,EUPHORBIA SP. (sgs.us),EUPHORBIA GLYPTOSPERMA,only in Year 5,Assign to dominant taxon in genus,Yes,,,,,
sgs.us,ASTRAGALUS SP. (sgs.us),ASTRAGALUS BISULCATUS,plot 8,No congeners recorded,Yes,,,,,
sgs.us,UNKNOWN FORB SP. (sgs.us),CHENOPODIUM LEPTOPHYLLUM,many years,Assign to dominant forb taxon,Yes,Amaranthaceae,,,,
sgs.us,UNKNOWN SP. (sgs.us),CHONDROSUM GRACILE,most years,Assign to dominant taxon,Yes,Poaceae,,,,
sgs.us,UNKNOWN SP.2 (sgs.us),CHONDROSUM GRACILE,unknown provenance according to characteristics,Assign to dominant taxon,Yes,Poaceae,,,,
sgs.us,ARISTIDA LONGISETA,ARISTIDA PURPUREA,"plot 35, 2020; plot has Aristida purpurea in other years",Inconsistent identification across years,Yes,,,,,
sgs.us,ELYMUS CANADENSIS,ELYMUS ELYMOIDES,only in Year 5,Inconsistent identification across years,Yes,,,,,
sgs.us,SCHEDONNARDUS PANICULATUS,ELYMUS ELYMOIDES,only in Year 0,Inconsistent identification across years,Yes,,,,,
sgs.us,SOLANUM SP. (sgs.us),SOLANUM ROSTRATUM,plot 23,No congeners recorded,Yes,,,,,
shps.us,UNKNOWN AMARANTHACEAE SP. (shps.us),CHENOPODIUM LEPTOPHYLLUM,,Assign to dominant taxon in Family,Yes,,,,,
shps.us,LAPPULA REDOWSKII,LAPPULA OCCIDENTALIS var. OCCIDENTALIS,,Inconsistent identification across years,Yes,,,,,
shps.us,UNKNOWN BRASSICACEAE SP. (shps.us),ALYSSUM DESERTORUM,widespread; surprising that it's unknown,Assign to dominant taxon in Family,Yes,,,,,
shps.us,UNKNOWN BRASSICACEAE SP.2 (shps.us),ALYSSUM DESERTORUM,annual according to characteristics,Assign to dominant taxon in Family (annual),Yes,,,,,
shps.us,UNKNOWN BRASSICACEAE SP.3 (shps.us),ALYSSUM DESERTORUM,unknown provenance according to characteristics,Assign to dominant taxon in Family,Yes,,,,,
shps.us,ANTENNARIA SP. (shps.us),ANTENNARIA DIMORPHA,2007-2014,Inconsistent identification across years,Yes,,,,,
shps.us,ANTENNARIA ROSEA,ANTENNARIA DIMORPHA,2017-2021,Inconsistent identification across years,Yes,,,,,
shps.us,MALVA NEGLECTA,SPHAERALCEA SP. (shps.us),"Malva in 2007-2013, Sphaeralcea in 2015-2018",Inconsistent identification across years,Yes,,,,,
shps.us,UNKNOWN SP. (shps.us),ARTEMISIA TRIPARTITA,,Assign to dominant taxon,Yes,Compositae,,,,
shps.us,UNKNOWN SP.2 (shps.us),ALYSSUM DESERTORUM,annual according to characteristics,Assign to dominant taxon (annual),Yes,Brassicaceae,,,,
shps.us,UNKNOWN SP.3 (shps.us),ALYSSUM DESERTORUM,annual of unknown provenance according to characteristics,Assign to dominant taxon (annual),Yes,Brassicaceae,,,,
shps.us,UNKNOWN SP.4 (shps.us),ARTEMISIA TRIPARTITA,unknown provenance according to characteristics,Assign to dominant taxon,Yes,Compositae,,,,
shps.us,UNKNOWN SP.5 (shps.us),ARTEMISIA TRIPARTITA,perennial of unknown provenance according to characteristics,Assign to dominant taxon (perennial),Yes,Compositae,,,,
shps.us,BROMUS SP.,BROMUS TECTORUM,,Inconsistent identification across years,Yes,,,,,
shps.us,PSEUDOSCLEROCHLOA RUPESTRIS,POA SECUNDA,2015 vs all other years,Inconsistent identification across years,Yes,,,,,
shps.us,CASTILLEJA SP. (shps.us),CASTILLEJA ANGUSTIFOLIA,,Inconsistent identification across years,Yes,,,,,
sier.us,UNKNOWN APIACEAE SP. (sier.us),DAUCUS PUSILLUS,Daucus not recorded in Year 0,Inconsistent identification across years,Yes,,,,,
sier.us,BRODIAEA SP. (sier.us),TRITELEIA HYACINTHINA,,Inconsistent identification across years,Yes,,,,,
sier.us,TRITELEIA LAXA,TRITELEIA HYACINTHINA,,Inconsistent identification across years,Yes,,,,,
sier.us,TRITELEIA SP. (sier.us),TRITELEIA HYACINTHINA,,Inconsistent identification across years,Yes,,,,,
sier.us,DICHELOSTEMMA MULTIFLORUM,DICHELOSTEMMA CAPITATUM,,Inconsistent identification across years,Yes,,,,,
sier.us,DICHELOSTEMMA VOLUBILE,DICHELOSTEMMA CAPITATUM,,Inconsistent identification across years,Yes,,,,,
sier.us,LEPIDIUM SP. (sier.us),CARDAMINE OLIGOSPERMA,,Inconsistent identification across years,Yes,,,,,
sier.us,SILENE GALLICA,PETRORHAGIA DUBIA,,Inconsistent identification across years,Yes,,,,,
sier.us,UNKNOWN CARYOPHYLLACEAE SP. (sier.us),CERASTIUM GLOMERATUM,,Assign to dominant taxon in Family,Yes,,,,,
sier.us,ASTER SP. (sier.us),LAGOPHYLLA MINOR,No Asters in New World; often present in same plot in different years,Inconsistent identification across years,Yes,,,,,
sier.us,UNKNOWN ASTERACEAE SP. (sier.us),LAGOPHYLLA MINOR,often present in same plot in different years,Inconsistent identification across years,Yes,,,,,
sier.us,TRIFOLIUM SP. (sier.us),TRIFOLIUM DUBIUM,"plot 14, 2007",Inconsistent identification across years,Yes,,,,,
sier.us,VICIA SP. (sier.us),VICIA SATIVA,,Assign to dominant taxon in genus,Yes,,,,,
sier.us,ERODIUM SP. (sier.us),ERODIUM BOTRYS,only in 2007,Inconsistent identification across years,Yes,,,,,
sier.us,UNKNOWN LILIACEAE SP. (sier.us),TRITELEIA HYACINTHINA,,Inconsistent identification across years,Yes,Asparagaceae,,,,
sier.us,UNKNOWN FORB SP. (sier.us),CONVOLVULUS ARVENSIS,,Assign to dominant forb taxon,Yes,Convolvulaceae,,,,
sier.us,UNKNOWN SP. (sier.us),MADIA GRACILIS,native provenance according to characteristics,Assign to dominant taxon (native),Yes,Compositae,,,,
sier.us,UNKNOWN SP.2 (sier.us),GERANIUM DISSECTUM,annual forb according to characteristics,Assign to dominant forb taxon (annual),Yes,Geraniaceae,,,,
sier.us,UNKNOWN ONAGRACEAE SP. (sier.us),EPILOBIUM SP. (sier.us),co-occurs with Clarkia,Assign to dominant taxon in Family,Yes,,,,,
sier.us,LINANTHUS SP. (sier.us),LINANTHUS BICOLOR,"plot 16, 2009",Assign to dominant taxon in genus,Yes,,,,,
sier.us,GALIUM SP. (sier.us),GALIUM PARISIENSE,"plot 30, 2011; annual according to characteristics",Assign to dominant taxon in genus,Yes,,,,,
smith.us,,,no changes,no changes,No,,,,,
spin.us,LYCHNIS LATIFOLIA SSP. ALBA,SILENE LATIFOLIA,,Synonyms,Yes,,,,,
spin.us,UNKNOWN ASTERACEAE SP. (spin.us),ERIGERON ANNUUS,"plot 9, 2008",Assign to dominant taxon in Family,Yes,,,,,
spin.us,UNKNOWN CYPERACEAE SP. (spin.us),CAREX SP. (spin.us),"plot 10, 2008",Assign to dominant taxon in Family,Yes,,,,,
spin.us,LUPINUS PERENNIS,TRIFOLIUM PRATENSE,only in 2013,Inconsistent identification across years,Yes,,,,,
spin.us,UNKNOWN FORB SP. (spin.us),VICIA GRANDIFLORA,,Assign to dominant forb taxon,Yes,Fabaceae,,,,
spin.us,UNKNOWN SP. (spin.us),CAMPSIS RADICANS,woody vine according to characteristics,Assign to dominant taxon (woody vine),Yes,Bignoniaceae,,,,
spin.us,ELYMUS REPENS,,suddenly appears in 2014,no changes,No,,,,,
spin.us,VIOLA SP. (spin.us),VIOLA TRICOLOR,occur in same plot-year,no changes,No,,,,,
summ.za,SEBAEA SP. (summ.za),SEBAEA GRANDIS,,No congeners recorded,Yes,,,,,
summ.za,EULOPHIA SP. (summ.za),EULOPHIA TENELLA,,No congeners recorded,Yes,,,,,
sval.no,SILENE SP. (sval.no),SILENE INVOLUCRATA,,Assign to dominant taxon in genus,Yes,,,,,
sval.no,UNKNOWN SP. (sval.no),DRYAS OCTOPETALA,only in 2016,Assign to dominant taxon,Yes,Rosaceae,,,,
temple.us,IPOMOEA SP. (temple.us),IPOMOEA TRILOBA,,No congeners recorded,Yes,,,,,
temple.us,MIMOSA NUTTALLII,MIMOSA QUADRIVALVIS var. PLATYCARPA,,Inconsistent identification across years,Yes,,,,,
temple.us,VICIA SP. (temple.us),VICIA VILLOSA,,No congeners recorded,Yes,,,,,
temple.us,BROMUS SP. (temple.us),BROMUS JAPONICUS,,No congeners recorded,Yes,,,,,
temple.us,PHYSALIS SP. (temple.us),PHYSALIS MOLLIS,,No congeners recorded,Yes,,,,,
temple.us,CELTIS SP. (temple.us),CELTIS LAEVIGATA,,No congeners recorded,Yes,,,,,
thth.is,FESTUCA RICHARDSONII,FESTUCA SP. (thth.is),,Aggregate at genus level,Yes,,,,,
thth.is,FESTUCA RUBRA,FESTUCA SP. (thth.is),,Aggregate at genus level,Yes,,,,,
thth.is,RUMEX SP. (thth.is),RUMEX ACETOSA,,No congeners recorded,Yes,,,,,
thth.is,STEREOCAULON SP. (thth.is),STEREOCAULON ALPINUM,,No congeners recorded,Yes,,,,,
thth.is,VIOLA SP. (thth.is),VIOLA PALUSTRIS,,No congeners recorded,Yes,,,,,
tmlr.is,AGROSTIS SP. (tmlr.is),AGROSTIS STOLONIFERA,,No congeners recorded,Yes,,,,,
tmlr.is,FESTUCA RICHARDSONII,FESTUCA SP. (tmlr.is),,Aggregate at genus level,Yes,,,,,
tmlr.is,FESTUCA RUBRA,FESTUCA SP. (tmlr.is),,Aggregate at genus level,Yes,,,,,
tmlr.is,RUMEX SP. (tmlr.is),RUMEX ACETOSA,,No congeners recorded,Yes,,,,,
tmlr.is,STEREOCAULON SP. (tmlr.is),STEREOCAULON ALPINUM,,No congeners recorded,Yes,,,,,
trel.us,JUNCUS SP. (trel.us),,no Juncus in 2008?,no changes,No,,,,,
trel.us,CAREX SP. (trel.us),,no Carex in 2009 or 2010?,no changes,No,,,,,
trel.us,UNKNOWN SP. (trel.us),SOLIDAGO CANADENSIS,,Assign to dominant taxon,Yes,Compositae,,,,
trel.us,BROMUS SP. (trel.us),BROMUS INERMIS,,No congeners recorded,Yes,,,,,
ukul.za,PACHYCARPUS ASPERIFOLIUS,PACHYCARPUS SCABER,"plot 30, 2018",Inconsistent identification across years,Yes,,,,,
ukul.za,PACHYCARPUS SP. (ukul.za),PACHYCARPUS SCABER,"plot 30, 2009",Inconsistent identification across years,Yes,,,,,
ukul.za,BLUMEA SP. (ukul.za),BLUMEA LACERA,,No congeners recorded,Yes,,,,,
ukul.za,HELICHRYSUM SP. (ukul.za),HELICHRYSUM MICONIIFOLIUM,"plots 2,6 in 2022; H. miconiifolium present in other years",Inconsistent identification across years,Yes,,,,,
ukul.za,SENECIO SP. (ukul.za),SENECIO LATIFOLIUS,"plot 7, 2022; S. latifolius in previous year",Inconsistent identification across years,Yes,,,,,
ukul.za,CUCUMIS SP. (ukul.za),CUCUMIS ZEYHERI,,No congeners recorded,Yes,,,,,
ukul.za,UNKNOWN CYPERACEAE SP. (ukul.za),BULBOSTYLIS SP. (ukul.za),,Assign to dominant taxon in Family,Yes,,,,,
ukul.za,ACALYPHA SP. (ukul.za),ACALYPHA ANGUSTATA,,Assign to dominant taxon in genus,Yes,,,,,
ukul.za,ACACIA SP. (ukul.za),ACACIA NILOTICA SSP. KRAUSSIANA,,No congeners recorded,Yes,,,,,
ukul.za,ARGYROLOBIUM SP. (ukul.za),ARGYROLOBIUM STIPULACEUM,"plot 3, 2022",Inconsistent identification across years,Yes,,,,,
ukul.za,CHAMAECRISTA COMOSA,CHAMAECRISTA SP. (ukul.za),,Aggregate at genus level,Yes,,,,,
ukul.za,CHAMAECRISTA PLUMOSA,CHAMAECRISTA SP. (ukul.za),,Aggregate at genus level,Yes,,,,,
ukul.za,CROTALARIA DURA,CROTALARIA SP. (ukul.za),,Aggregate at genus level,Yes,,,,,
ukul.za,CROTALARIA GLOBIFERA,CROTALARIA SP. (ukul.za),,Aggregate at genus level,Yes,,,,,
ukul.za,CROTALARIA MACROCARPA,CROTALARIA SP. (ukul.za),,Aggregate at genus level,Yes,,,,,
ukul.za,UNKNOWN FABACEAE SP. (ukul.za),ERIOSEMA CORDATUM,,Assign to dominant taxon in Family,Yes,,,,,
ukul.za,VIGNA SP. (ukul.za),VIGNA VEXILLATA,,Assign to dominant taxon in genus,Yes,,,,,
ukul.za,ALBUCA SP. (ukul.za),ALBUCA SETOSA,,No congeners recorded,Yes,,,,,
ukul.za,LEDEBOURIA COOPERI,LEDEBOURIA SP. (ukul.za),,Aggregate at genus level,Yes,,,,,
ukul.za,LEDEBOURIA OVATIFOLIA,LEDEBOURIA SP. (ukul.za),,Aggregate at genus level,Yes,,,,,
ukul.za,HYPERICUM SP. (ukul.za),HYPERICUM AETHIOPICUM SSP. SONDERI,"co-occur in plot 1, 2009",no changes,No,,,,,
ukul.za,LEONOTIS OCYMIFOLIA var. RAINERIANA,LEONOTIS LEONURUS,,Inconsistent identification across years,Yes,,,,,
ukul.za,UNKNOWN FORB SP. (ukul.za),SCABIOSA COLUMBARIA,,Assign to dominant forb taxon,Yes,Dipsacaceae,,,,
ukul.za,UNKNOWN SHRUB SP. (ukul.za),GRADERIA SCABRA,,Assign to dominant shrub taxon,Yes,Scrophulariaceae,,,,
ukul.za,UNKNOWN SP. (ukul.za),SETARIA NIGRIROSTRIS,,Assign to dominant taxon,Yes,Poaceae,,,,
ukul.za,UNKNOWN SP.1 (ukul.za),SETARIA NIGRIROSTRIS,,Assign to dominant taxon,Yes,Poaceae,,,,
ukul.za,UNKNOWN SP.2 (ukul.za),SETARIA NIGRIROSTRIS,,Assign to dominant taxon,Yes,Poaceae,,,,
ukul.za,UNKNOWN VINE (ukul.za),PASSIFLORA SUBEROSA,,Assign to dominant vine taxon,Yes,Passifloraceae,,,,
ukul.za,UNKNOWN POACEAE SP. (ukul.za),SETARIA NIGRIROSTRIS,,Assign to dominant taxon in Family,Yes,,,,,
ukul.za,SOLANUM SP. (ukul.za),SOLANUM PANDURIFORME,woody perennial according to characteristics,Assign to dominant taxon in genus (woody),Yes,,,,,
unc.us,ERIGERON SP. (unc.us),ERIGERON ANNUUS,"plot 14, 2011",Assign to dominant taxon in genus,Yes,,,,,
unc.us,SOLIDAGO SP. (unc.us),SOLIDAGO PINETORUM,co-occur in same plot-year,no changes,No,,,,,
unc.us,UNKNOWN ASTERACEAE SP. (unc.us),SOLIDAGO PINETORUM,"plot 8, 2009",Assign to dominant taxon in Family,Yes,,,,,
unc.us,UNKNOWN FORB SP. (unc.us),SOLIDAGO PINETORUM,unknown provenance according to characteristics,Assign to dominant forb taxon,Yes,Compositae,,,,
unc.us,UNKNOWN SP. (unc.us),SCHEDONORUS SP. (unc.us),,Assign to dominant taxon,Yes,Poaceae,,,,
unc.us,ERAGROSTIS SP. (unc.us),HOLCUS LANATUS,Eragrostis only in 2007; Holcus sometimes in next year,no changes,No,,,,,
unc.us,PANICUM DICHOTOMUM,PANICUM SP. (unc.us),,Aggregate at genus level,Yes,,,,,
unc.us,PANICUM LINEARIFOLIUM,PANICUM SP. (unc.us),,Aggregate at genus level,Yes,,,,,
unc.us,PANICUM SP.1 (unc.us),PANICUM SP. (unc.us),,Aggregate at genus level,Yes,,,,,
unc.us,PANICUM SP.2 (unc.us),PANICUM SP. (unc.us),,Aggregate at genus level,Yes,,,,,
unc.us,UNKNOWN POACEAE SP. (unc.us),SCHEDONORUS SP. (unc.us),,Assign to dominant taxon in Family,Yes,,,,,
unc.us,SMILAX BONA-NOX,SMILAX ROTUNDIFOLIA,plot 27,Inconsistent identification across years,Yes,,,,,
valm.ch,,,no changes,no changes,No,,,,,
vargrass.no,,,limited data: only 6 plots remeasured,no changes,No,,,,,
vargrass.no,STELLARIA SP. (vargrass.no),STELLARIA NEMORUM,same plot-year,no changes,No,,,,,
vargrass.no,HIERACIUM SP. (vargrass.no),HIERACIUM ALPINUM,,No congeners recorded,Yes,,,,,
vargrass.no,HIERACIUM ALPINUM,,,Update species characteristics,Yes,,NAT,HERB,PERENNIAL,FORB
vargrass.no,CAREX AQUATILIS,CAREX SP. (vargrass.no),,Aggregate at genus level,Yes,,,,,
vargrass.no,CAREX BIGELOWII,CAREX SP. (vargrass.no),,Aggregate at genus level,Yes,,,,,
vargrass.no,CAREX BRUNNESCENS,CAREX SP. (vargrass.no),,Aggregate at genus level,Yes,,,,,
vargrass.no,CAREX LACHENALII,CAREX SP. (vargrass.no),,Aggregate at genus level,Yes,,,,,
vargrass.no,CAREX NIGRA,CAREX SP. (vargrass.no),,Aggregate at genus level,Yes,,,,,
vargrass.no,CAREX VAGINATA,CAREX SP. (vargrass.no),,Aggregate at genus level,Yes,,,,,
vargrass.no,EQUISETUM SP. (vargrass.no),EQUISETUM ARVENSE,,Assign to dominant taxon in Family,Yes,,,,,
vargrass.no,EPILOBIUM ANAGALLIDIFOLIUM,EPILOBIUM SP. (vargrass.no),,Aggregate at genus level,Yes,,,,,
vargrass.no,EPILOBIUM PALUSTRE,EPILOBIUM SP. (vargrass.no),,Aggregate at genus level,Yes,,,,,
vargrass.no,CALAMAGROSTIS SP. (vargrass.no),CALAMAGROSTIS PURPUREA,,Assign to dominant taxon in genus,Yes,,,,,
vargrass.no,POA SP. (vargrass.no),POA PRATENSIS,,No congeners recorded,Yes,,,,,
vargrass.no,UNKNOWN POACEAE SP. (vargrass.no),DESCHAMPSIA FLEXUOSA,,Assign to dominant taxon in Family,Yes,,,,,
vargrass.no,ALCHEMILLA SP. (vargrass.no),ALCHEMILLA ALPINA,,No congeners recorded,Yes,,,,,
vargrass.no,SALIX HERBACEA,SALIX SP. (vargrass.no),co-occur in same plot-years,no changes,No,,,,,
vargrass.no,SALIX PHYLICIFOLIA,SALIX SP. (vargrass.no),co-occur in same plot-years,no changes,No,,,,,
vargrass.no,VIOLA SP. (vargrass.no),VIOLA BIFLORA,,No congeners recorded,Yes,,,,,
varheath.no,,,limited data: only 6 plots remeasured,no changes,No,,,,,
varheath.no,CAREX AQUATILIS,CAREX SP. (varheath.no),"plot 10, 2018",Aggregate at genus level,Yes,,,,,
varheath.no,CAREX BIGELOWII,CAREX SP. (varheath.no),"plot 15, 2018",Aggregate at genus level,Yes,,,,,
varheath.no,CAREX BRUNNESCENS,CAREX SP. (varheath.no),"plots 5&9, 2018",Aggregate at genus level,Yes,,,,,
varheath.no,UNKNOWN PTERIDOPHYTA SP. (varheath.no),EQUISETUM SYLVATICUM,,Assign to dominant pteridophyte taxon,Yes,Equisetaceae,,,,
varheath.no,ALCHEMILLA SP. (varheath.no),ALCHEMILLA ALPINA,,No congeners recorded,Yes,,,,,
veluwe.nl,SCORZONEROIDES AUTUMNALIS,,strikingly absent in 2020,no changes,No,,,,,
veluwe.nl,PRUNUS SPINOSA,PRUNUS SEROTINA,different plots,no changes,No,,,,,
veluwe.nl,PRUNUS PADUS,PRUNUS SEROTINA,,Inconsistent identification across years,Yes,,,,,
veluwe.nl,VERONICA SP. (veluwe.nl),VERONICA OFFICINALIS,"plot 23, 2018",Assign to dominant taxon in Family,Yes,,,,,
yarra.au,WAHLENBERGIA SP. (yarra.au),WAHLENBERGIA GRACILIS,,No congeners recorded,Yes,,,,,
yarra.au,LEONTODON SP. (yarra.au),LEONTODON HISPIDUS,,No congeners recorded,Yes,,,,,
yarra.au,CYPERUS SP. (yarra.au),CYPERUS ERAGROSTIS,,No congeners recorded,Yes,,,,,
yarra.au,VICIA SP. (yarra.au),VICIA SATIVA,,No congeners recorded,Yes,,,,,
yarra.au,DICHELACHNE SP. (yarra.au),DICHELACHNE SQUAMULOSUM,,No congeners recorded,Yes,,,,,
yarra.au,PASPALUM DILATATUM,PASPALUM SP. (yarra.au),not distinguished in yrs 0-3,Aggregate at genus level,Yes,,,,,
yarra.au,PASPALUM NOTATUM,PASPALUM SP. (yarra.au),not distinguished in yrs 0-3,Aggregate at genus level,Yes,,,,,
yarra.au,SPOROBOLUS SP. (yarra.au),SPOROBOLUS AFRICANUS,,No congeners recorded,Yes,,,,,
yarra.au,UNKNOWN POACEAE SP. (yarra.au),CYNODON DACTYLON,"plots 16, 17, 39 in 2014",Assign to dominant taxon in Family,Yes,,,,,
yarra.au,RUMEX SP. (yarra.au),RUMEX ACETOSA,,No congeners recorded,Yes,,,,,
